@relation thread_length

@attribute threadID numeric
@attribute sentiment1 numeric
@attribute sentiment2 numeric
@attribute binnedTimeDiff1 numeric
@attribute binnedTimeDiff2 numeric
@attribute timeDiff1 numeric
@attribute timeDiff2 numeric
@attribute arrivalPattern1 numeric
@attribute arrivalPattern2 numeric
@attribute posterInteractions1 numeric
@attribute posterInteractions2 numeric
@attribute mutualInteractions1 numeric
@attribute mutualInteractions2 numeric
@attribute numWords1 numeric
@attribute numWords2 numeric
@attribute question1 numeric
@attribute question2 numeric
@attribute exclaim1 numeric
@attribute exclaim2 numeric
@attribute onThreadTopic1 numeric
@attribute onThreadTopic2 numeric
@attribute overlapPrevious1 numeric
@attribute overlapPrevious2 numeric
@attribute overlapDistance1 numeric
@attribute overlapDistance2 numeric
@attribute timeliness1 numeric
@attribute timeliness2 numeric
@attribute lengthiness1 numeric
@attribute lengthiness2 numeric
@attribute formatPunctuation1 numeric
@attribute formatPunctuation2 numeric
@attribute formatEmoticons1 numeric
@attribute formatEmoticons2 numeric
@attribute formatCapitals1 numeric
@attribute formatCapitals2 numeric
@attribute averageSentiment numeric
@attribute participants numeric
@attribute totalLinks numeric
@attribute threadLength numeric

@data
14509,0,0,2,4,70,460,1,10,1,-1,33,-1,127,52,0,0,0,0,0.6389,0.5574,0.6389,0.6066,1,1,0.252,1.405,1.6216,0.6869,0,0,0,0,2,0,0.3333,2,1,5
14510,2,2,1,2,22,135,1,10,2,-1,484,-1,102,9,0,1,0,0,0.4956,0.3,0.4956,0.3,1,2,0.2044,1.0495,1.2817,0.1134,0,0,0,0,0,0,1,2,2,18
14511,-1,1,1,1,36,54,1,10,1,-1,53,-1,33,12,1,0,0,1,0.3659,0.3571,0.3659,0.3571,1,2,0.1392,0.0641,1.1175,0.3816,0,0,0,0,1,0,0,2,1,16
14514,0,0,1,2,49,89,1,12,1,1,151,58,193,2,0,0,0,0,0.4646,0,0.4646,0,1,0,0.2984,0.2484,3.9566,0.035,0,0,0,0,0,0,-0.3333,3,6,25
14515,0,-1,6,6,1764,1837,1,12,1,1,66,26,17,7,1,0,0,0,0.1905,0.25,0.1905,0.25,1,2,4.7115,0.1949,1.2353,0.4706,1,0,0,0,0,0,-0.3333,3,4,7
14516,0,0,3,3,246,308,1,10,3,-1,162,-1,137,11,1,0,0,0,0.2013,0.3077,0.2013,0.3846,1,1,1.4187,0.3525,2.846,0.2402,0,0,0,0,0,0,0.3333,2,3,9
14535,0,0,3,9,223,12121,1,10,1,-1,10,-1,26,15,0,0,0,0,0.3333,0.55,0.3333,0.55,1,2,0.0947,5.0411,0.5607,0.3738,0,0,0,0,0,1,0,2,1,6
14537,0,0,2,2,85,121,1,12,1,1,28,5,17,15,0,1,0,0,0.4545,0.4706,0.4545,0.4706,1,2,0.4087,0.1719,0.4456,0.3443,0,0,0,0,2,0,-0.3333,3,3,8
14538,0,-1,2,4,140,660,1,12,1,1,1,1,18,8,1,1,0,0,0.087,0.1,0.087,0.3,1,1,0.6401,2.3599,1.2545,0.5455,0,0,0,0,1,1,-0.3333,3,3,3
14540,-1,-2,3,3,181,192,1,12,1,1,26,35,49,51,0,0,0,0,0.3636,0.5082,0.3636,0.5082,1,2,0.7563,0.0445,0.6581,0.7299,0,0,0,0,0,1,-1.6667,3,20,7
